Tahun,Bulan,Hari,Kec_angin,T_max,T_min,Curah_hujan,Kelembapan,Tekanan_udara
2011,4,12,0.8,29.28,23.49,11.87,18.98,100.85
2011,4,13,0.78,29.96,23.34,9.41,18.8,100.85
2011,4,14,0.75,30.11,23.12,12.04,19.04,100.73
2011,4,15,0.49,29.08,24.19,12.1,19.1,100.74
2011,4,16,0.59,29.0,23.44,3.14,18.74,100.85
2011,4,17,0.89,30.18,23.2,1.67,19.04,100.81
2011,4,18,0.58,27.76,24.17,2.95,18.8,100.75
2011,4,19,0.62,29.58,23.15,7.28,18.37,100.74
2011,4,20,0.66,29.95,23.64,5.82,19.29,100.8
2011,4,21,0.55,30.6,23.69,11.07,18.74,100.82
2011,4,22,0.59,30.85,23.96,31.71,19.23,100.69
2011,4,23,0.56,30.15,24.03,1.98,19.23,100.61
2011,4,24,0.65,30.19,24.4,1.25,19.41,100.63
2011,4,25,0.79,28.48,24.17,3.15,19.65,100.7
2011,4,26,0.46,29.55,24.12,14.9,18.8,100.68
2011,4,27,0.54,27.4,24.22,37.04,19.59,100.64
2011,4,28,0.66,30.4,23.92,7.16,19.47,100.55
2011,4,29,0.62,27.97,24.28,14.52,19.59,100.62
2011,4,30,0.66,29.26,23.65,77.46,19.41,100.72
2011,5,1,0.71,27.94,24.3,34.72,19.59,100.82
2011,5,2,0.6,28.65,23.19,6.52,18.43,100.82
2011,5,3,0.78,29.62,23.47,18.35,18.8,100.77
2011,5,4,0.65,30.87,23.2,15.52,19.17,100.73
2011,5,5,0.52,28.66,24.58,12.35,19.78,100.78
2011,5,6,0.78,29.86,24.64,7.06,20.02,100.76
2011,5,7,0.65,29.53,24.68,4.21,19.78,100.75
2011,5,8,0.73,30.38,24.8,0.55,19.71,100.71
2011,5,9,0.66,30.33,24.33,0.0,19.53,100.8
2011,5,10,0.73,30.15,23.8,6.68,19.53,100.87
2011,5,11,0.79,29.54,24.62,0.33,19.84,100.79
2011,5,12,0.79,30.64,24.1,11.83,19.78,100.78
2011,5,13,0.64,29.35,24.26,7.3,19.78,100.77
2011,5,14,0.9,27.74,23.83,9.82,18.86,100.86
2011,5,15,0.77,29.78,22.88,1.04,18.74,101.0
2011,5,16,0.75,29.45,23.66,0.09,19.29,101.03
2011,5,17,0.74,30.65,23.68,1.03,19.53,100.89
2011,5,18,0.73,30.13,23.78,2.63,19.35,100.89
2011,5,19,0.68,30.08,23.41,0.67,19.1,100.92
2011,5,20,0.61,27.98,23.98,4.65,19.59,100.84
2011,5,21,0.7,28.18,23.97,5.52,19.23,100.84
2011,5,22,0.78,29.5,23.45,0.44,18.92,100.84
2011,5,23,0.77,30.33,23.52,12.77,19.41,100.84
2011,5,24,0.72,29.9,23.85,5.66,19.71,100.73
2011,5,25,0.63,28.82,24.33,2.82,19.65,100.68
2011,5,26,0.56,29.21,23.87,14.36,19.23,100.68
